case_id,set_id,author_ids,author_names
2,1,"[120, 324]","Jack London,Anthony Trollope"
2,2,"[30, 593]","H.G. Wells,Bret Harte"
2,3,"[1177, 260]","Mrs Henry Wood,Oliver Optic"
2,4,"[365, 69]","Henry Rider Haggard,Arthur Conan Doyle"
2,5,"[260, 102]","Oliver Optic,Louisa May Alcott"
2,6,"[102, 593]","Louisa May Alcott,Bret Harte"
2,7,"[1177, 963]","Mrs Henry Wood,Margaret Oliphant"
2,8,"[28, 1177]","Nathaniel Hawthorne,Mrs Henry Wood"
2,9,"[324, 2957]","Anthony Trollope,Mary Elizabeth Braddon"
2,10,"[260, 28]","Oliver Optic,Nathaniel Hawthorne"
2,11,"[73, 1057]","Frances Hodgson Burnett,Fergus Hume"
2,12,"[324, 1321]","Anthony Trollope,Marie Corelli"
2,13,"[2957, 28]","Mary Elizabeth Braddon,Nathaniel Hawthorne"
2,14,"[69, 102]","Arthur Conan Doyle,Louisa May Alcott"
2,15,"[28, 963]","Nathaniel Hawthorne,Margaret Oliphant"
2,16,"[2957, 53]","Mary Elizabeth Braddon,Mark Twain"
2,17,"[102, 69]","Louisa May Alcott,Arthur Conan Doyle"
2,18,"[324, 125]","Anthony Trollope,Joseph Conrad"
2,19,"[1057, 1177]","Fergus Hume,Mrs Henry Wood"
2,20,"[324, 102]","Anthony Trollope,Louisa May Alcott"
2,21,"[593, 324]","Bret Harte,Anthony Trollope"
2,22,"[365, 98]","Henry Rider Haggard,Wilkie Collins"
2,23,"[1321, 324]","Marie Corelli,Anthony Trollope"
2,24,"[69, 73]","Arthur Conan Doyle,Frances Hodgson Burnett"
2,25,"[365, 2957]","Henry Rider Haggard,Mary Elizabeth Braddon"
2,26,"[1321, 963]","Marie Corelli,Margaret Oliphant"
2,27,"[69, 1177]","Arthur Conan Doyle,Mrs Henry Wood"
2,28,"[593, 365]","Bret Harte,Henry Rider Haggard"
2,29,"[365, 963]","Henry Rider Haggard,Margaret Oliphant"
