case_id,set_id,author_ids,author_names,train,test,val
2,1,"[120, 324]","Jack London,Anthony Trollope","[18000, 1449, 5737, 25579, 1056, 2158, 21971, 746, 21970, 23000, 1161, 1164, 24103, 310, 18640, 2416, 5231, 1074, 3045, 2377, 215, 5140, 33500, 7381, 2152, 58558, 30100, 5897]","[3409, 6455, 3166, 4599, 1163, 619, 910, 1162]","[2860, 19500, 1160, 1075]"
2,2,"[30, 593]","H.G. Wells,Bret Harte","[2712, 2695, 2277, 35920, 35, 2711, 12419, 2310, 34962, 5230, 780, 35338, 1013, 2185, 2794, 14060, 2279, 36, 2193, 775, 7308, 524, 2635, 2280, 2858, 159, 66409, 2180]","[2178, 1264, 2793, 39162, 2286, 2867, 718, 1059]","[1047, 2723, 36336, 12163]"
2,3,"[1177, 260]","Mrs Henry Wood,Oliver Optic","[9192, 484, 14595, 24866, 58701, 15627, 39377, 39693, 18264, 58288, 15920, 58774, 24631, 24554, 39692, 58086, 18678, 26653, 16798, 57875, 58046, 24775, 24124, 65552, 42200, 58582, 21901, 23758]","[40418, 44950, 38832, 3322, 58431, 52978, 18579, 23351]","[15540, 24252, 36106, 34587]"
2,4,"[365, 69]","Henry Rider Haggard,Arthur Conan Doyle","[8184, 1848, 1368, 1690, 2841, 5174, 9504, 423, 1644, 1661, 13152, 5745, 2857, 1711, 2345, 2349, 11247, 2344, 2166, 8394, 2721, 356, 5228, 2722, 2845, 5746, 244, 2343]","[9780, 2350, 3155, 537, 59422, 38443, 2769, 5148]","[2347, 711, 6769, 2348]"
2,5,"[260, 102]","Oliver Optic,Louisa May Alcott","[8188, 15540, 8694, 2804, 14595, 24554, 44950, 18264, 18678, 57321, 3499, 2786, 8677, 28203, 26041, 484, 24252, 514, 36221, 2787, 24775, 40683, 26653, 5830, 24124, 65552, 18579, 52978]","[3795, 4770, 2726, 40682, 24631, 23758, 23351, 15920]","[54212, 24866, 2788, 21901]"
2,6,"[102, 593]","Louisa May Alcott,Bret Harte","[36336, 2279, 2277, 2804, 12419, 2723, 8677, 514, 2185, 3499, 26041, 2793, 2788, 8694, 2711, 2193, 2180, 28203, 2786, 54212, 2695, 40682, 2867, 2310, 40683, 2794, 4770, 5830]","[2726, 8188, 2858, 2280, 2635, 2787, 2286, 57321]","[2712, 36221, 3795, 2178]"
2,7,"[1177, 963]","Mrs Henry Wood,Margaret Oliphant","[39693, 48197, 58431, 48199, 66376, 65935, 53583, 15627, 41286, 38832, 16798, 28006, 55155, 60018, 58582, 58701, 3322, 40418, 28629, 39692, 54841, 58046, 63902, 58086, 29890, 42200, 59918, 9192]","[10052, 57875, 59759, 58288, 53744, 11521, 39377, 34587]","[36106, 58774, 52756, 52060]"
2,8,"[28, 1177]","Nathaniel Hawthorne,Mrs Henry Wood","[25344, 15627, 32242, 58086, 2181, 64944, 7372, 39692, 58701, 40418, 2182, 58582, 7119, 2081, 42200, 9192, 34587, 9257, 9256, 7085, 3322, 7183, 9237, 36106, 58288, 39693, 39377, 9247]","[1926, 976, 30376, 58774, 57875, 9258, 38832, 58431]","[16798, 77, 9251, 58046]"
2,9,"[324, 2957]","Anthony Trollope,Mary Elizabeth Braddon","[54247, 18640, 50676, 9377, 23000, 24103, 9362, 26238, 3166, 34542, 11720, 7381, 50037, 48021, 19500, 68040, 67237, 4599, 2860, 41374, 58558, 3045, 57405, 5231, 33500, 3409, 25579, 8954]","[18000, 5140, 9052, 30100, 2158, 35485, 9189, 9475]","[619, 17801, 48020, 5897]"
2,10,"[260, 28]","Oliver Optic,Nathaniel Hawthorne","[484, 32242, 1926, 18579, 23758, 976, 24124, 9257, 24631, 7085, 24866, 7183, 9251, 9256, 77, 15540, 64944, 14595, 9247, 44950, 15920, 25344, 2182, 23351, 24554, 2081, 24252, 18264]","[2181, 26653, 9237, 30376, 52978, 18678, 65552, 7372]","[24775, 9258, 7119, 21901]"
